brand,category-1,category-2,category-3,co2_total,colour,fabric_type,ftp_acrylic,ftp_cotton,ftp_elastane,ftp_linen,ftp_other,ftp_polyamide,ftp_polyester,ftp_polypropylene,ftp_silk,ftp_viscose,ftp_wool,gender,label,made_in,season,size,unspsc_code,weight
b95,womenswear,women-sportswear,sport-bra,1.54,gray,K,,,,91.0,3.0,,,5.0,,,,W,,PK,,XL,,
b66,baby,nightwear,pyjama,16.24,navy,K,,,,,,,,,,,100.0,,,US,,S,,
b17,baby,thermals,knitwear,15.57,navy,K,,34.0,6.0,3.0,14.0,,6.0,13.0,11.0,,8.0,,,CN,SUM,S,,
b101,womenswear,outerwear,jacket,20.89,turquoise,W,3.0,,4.0,1.0,3.0,,,1.0,,,85.0,W,,CN,,L,,
b86,clothing,thermals,pants,1.13,dark green,W,,34.0,,,,,11.0,,48.0,5.0,,W,,HK,,XS,,
b95,home,home,towel,16.68,red,K,,1.0,,93.0,1.0,,,1.0,,1.0,,,,US,,XXL,,
b131,baby,footwear,socks,0.69,light brown,K,,,,,,,,,100.0,,,,,CN,,M,,
b66,home,home,sheets,49.07,bondi blue,K,11.0,7.0,,16.0,,2.0,,,4.0,9.0,48.0,,,CN,,XXL,,1.2229999999999999
b16,baby,footwear,socks,1.15,pink,K,2.0,,,,,92.0,,,1.0,2.0,1.0,,,US,,XS,,0.027000000000000003
b64,kidswear,swimwear,swimsuit,2.08,turquoise,K,10.0,,18.0,55.0,,,15.0,,,,,Y,,TR,,XS,,0.063
b67,kidswear,suit,gloves,10.85,golden,K,,,,,,,,,98.0,,,G,,US,WIN,XS,,
b16,menswear,home,mat,31.61,light brown,K,10.0,,10.0,,9.0,58.0,,,,12.0,,M,,PK,,XS,,0.738
b66,baby,nightwear,pyjama,21.84,neon,K,7.0,,,65.0,8.0,,,5.0,,5.0,8.0,,,TR,,M,,
b16,kidswear,headgear,hat,2.41,pink,K,,,2.0,11.0,,,66.0,10.0,,3.0,5.0,B,,CN,,XL,,
b86,home,home,mat,73.06,silver,K,,,,,7.0,13.0,72.0,,,7.0,,,,CN,,XXL,,3.312
b16,baby,outerwear,trousers,24.29,wheat,W,,82.0,2.0,,,,2.0,3.0,1.0,2.0,3.0,,,CN,MID,XXL,,
b112,womenswear,hosiery,tights,5.5,golden,K,1.0,,,81.0,,4.0,1.0,,5.0,4.0,,W,,CN,,L,,0.342
b131,baby,outerwear,jacket,29.95,neon,K,,,,80.0,1.0,,,6.0,5.0,7.0,,,,KR,,XL,,1.125
b142,menswear,headgear,flat-cap,2.29,gold,K,,,2.0,6.0,4.0,6.0,71.0,,2.0,3.0,3.0,M,,CN,,XS,,
b124,clothing,accessory,backpack,35.08,natural,W,,10.0,2.0,3.0,6.0,33.0,9.0,,10.0,10.0,11.0,Y,,US,,XL,,0.8059999999999999
b76,baby,outerwear,coats,89.33,light brown,K,,1.0,5.0,,8.0,3.0,,2.0,68.0,10.0,,,,TR,SUM,S,,
b16,kidswear,headgear,flat-cap,2.77,aquamarine,K,,,,95.0,,,,1.0,,1.0,1.0,G,,VN,,M,,
b101,home,home,sheets,43.05,natural,K,,,,3.0,,,1.0,,94.0,,,,,US,,XL,,0.998
b76,clothing,swimwear,swimsuit,2.06,unknown,K,13.0,,7.0,53.0,7.0,5.0,10.0,,,3.0,,K,,CN,,S,,
b64,womenswear,undergarments,briefs,1.4,golden,K,7.0,,,77.0,,,,7.0,,3.0,2.0,W,,CN,,XS,,
b16,clothing,sportswear,T-shirt,6.24,natural,K,,,,,,94.0,,5.0,,,,U,,CN,,L,,
b76,menswear,thermals,knitwear,33.18,colourful,K,2.0,,1.0,,,92.0,,,,1.0,2.0,M,,CN,MID,XXL,,
b67,baby,baby,body,0.42,maroon,K,,6.0,2.0,,,,1.0,7.0,81.0,,,,,CN,,M,,
b66,home,home,curtain,27.85,light grey,W,1.0,,,,,,,1.0,,,97.0,,,CN,,L,,
b103,baby,thermals,long-sleeved-top,3.17,brown,K,3.0,,11.0,,8.0,,1.0,,,,75.0,,,CN,,S,,
b64,home,home,curtain,24.36,Ivory,W,8.0,,10.0,53.0,9.0,2.0,,8.0,3.0,,3.0,,,DE,,XXL,,0.81
b101,clothing,accessory,backpack,24.89,colourful,W,,8.0,11.0,,,11.0,3.0,,61.0,3.0,,W,,PK,,S,,
b23,baby,baby,body,0.41,red,K,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,81.0,,,,,CN,,XS,,
b124,kidswear,thermals,knitwear,6.84,light brown,K,,50.0,7.0,,11.0,,5.0,2.0,12.0,,9.0,Y,,CN,SUM,S,,
b16,clothing,uniform,trousers,96.67,green,K,11.0,,,,14.0,10.0,,,14.0,,49.0,G,,IN,WIN,XL,,
b76,menswear,suit,gloves,5.75,amber,K,7.0,39.0,8.0,6.0,,,11.0,10.0,7.0,8.0,,M,,CN,WIN,XS,,0.212
b95,kidswear,headgear,hat,3.87,black,K,3.0,4.0,,8.0,,,,5.0,,,78.0,Y,,DE,,XL,,0.051
b131,clothing,uniform,jacket,21.92,mosaic,W,5.0,,,,,60.0,9.0,4.0,9.0,9.0,,U,,CN,,XS,,
b112,baby,nightwear,pyjama,17.25,blue gray,K,,7.0,5.0,7.0,,9.0,,1.0,,4.0,64.0,,,CN,,M,,
b16,menswear,accessory,backpack,16.85,navy,K,,,,97.0,,,,,,,,M,,CN,,S,,1.207
b86,womenswear,dress,evening-dress,9.13,blue gray,K,,7.0,29.0,34.0,,2.0,,,26.0,,,W,,HK,,L,,
b16,clothing,home,mat,70.84,maroon,K,15.0,36.0,2.0,10.0,12.0,,7.0,1.0,13.0,,,W,,TR,,XXL,,1.734
b16,baby,outerwear,trousers,15.96,gold,K,,,5.0,2.0,40.0,,33.0,,17.0,,,,,CN,AYR,M,,
b103,menswear,clothing,trousers,51.89,bondi blue,K,3.0,3.0,5.0,6.0,,1.0,5.0,,2.0,5.0,66.0,M,,KR,MID,M,,
b16,home,home,pillow,4.96,mosaic,K,,6.0,4.0,,8.0,1.0,11.0,,68.0,,,,,CN,,L,,
b101,menswear,undergarments,briefs,7.21,blue,K,15.0,,12.0,,10.0,,8.0,12.0,,,40.0,M,,PK,,XL,,
b23,baby,footwear,socks,0.42,silver,K,,,10.0,,10.0,,,,80.0,,,,,CN,,XS,,0.017
b66,baby,thermals,trousers,21.66,gold,W,1.0,1.0,,1.0,,,92.0,,1.0,,1.0,,,DE,AYR,L,,
b125,kidswear,thermals,skirts,11.99,peach,K,1.0,94.0,,,,,1.0,,,1.0,,B,,DE,,XS,,0.249
b95,kidswear,clothing,top,2.85,blue gray,K,2.0,6.0,,,15.0,5.0,,,,8.0,62.0,B,,CN,,XS,,
b66,menswear,accessory,backpack,17.14,metal,W,,,,2.0,,,94.0,,,2.0,,M,,CN,,XS,,
b23,baby,baby,body,1.51,mustard,K,,54.0,,,,,12.0,,13.0,17.0,3.0,,,TR,,L,,
b16,kidswear,dress,evening-dress,8.7,blue,K,11.0,65.0,,,2.0,4.0,,,8.0,7.0,,K,,CN,,S,,
b101,kidswear,beachwear,shorts,2.71,amber,K,8.0,,8.0,53.0,18.0,,8.0,,,3.0,,B,,PK,SUM,XS,,0.102
b64,womenswear,nightwear,pyjama,7.71,wheat,K,,7.0,1.0,,,,12.0,,78.0,,,W,,VN,,XL,,
b142,kidswear,uniform,costume,19.23,mustard,W,,,,12.0,,,,,17.0,,70.0,G,,US,,XS,,0.267
b76,kidswear,undergarments,brief,1.29,dark green,K,1.0,,,,,1.0,95.0,,,,,Y,,CN,,M,,
b76,menswear,clothing,hoodie,10.89,aquamarine,K,,8.0,,6.0,4.0,,,,71.0,6.0,2.0,M,,CN,,XXL,,
b67,clothing,footwear,socks,0.92,black,K,,2.0,,3.0,,93.0,1.0,,,,,K,,CN,,XXL,,
b142,kidswear,headgear,hat,3.64,golden,K,,94.0,,2.0,,1.0,,,2.0,,,B,,TR,,M,,0.075
b16,home,home,towel,7.35,teal,K,,2.0,3.0,,3.0,89.0,,2.0,,,,,,CN,,S,,0.29100000000000004
b101,menswear,nightwear,pyjama,37.65,natural,K,2.0,2.0,3.0,3.0,,,,1.0,,,86.0,M,,CN,,L,,
b125,menswear,headgear,hat,2.34,grey,K,,4.0,15.0,33.0,9.0,13.0,,4.0,6.0,,13.0,M,,CN,,XL,,
b103,kidswear,sportswear,jersey,6.28,unbleached,K,,,8.0,79.0,,1.0,,10.0,,,,B,,PK,,M,,
b64,baby,footwear,socks,1.03,golden,K,,,15.0,,16.0,,46.0,,5.0,16.0,,,,DE,,M,,
b112,home,home,pillow,4.59,natural,W,,,,,,,,,,,98.0,,,CN,,XS,,
b86,kidswear,nightwear,pyjama,14.49,bondi blue,K,,,22.0,,,10.0,12.0,,,,54.0,Y,,CN,,M,,0.358
b124,menswear,outerwear,coats,44.53,unknown,K,15.0,17.0,2.0,37.0,,,,14.0,,12.0,,M,,CN,WIN,XS,,
b86,womenswear,undergarments,brief,1.89,neon,K,,,2.0,65.0,16.0,,2.0,,5.0,,7.0,W,,CN,,L,,
b66,baby,nightwear,pyjama,28.36,unbleached,K,2.0,1.0,2.0,,1.0,87.0,,1.0,,2.0,,,,US,,M,,
b131,womenswear,headgear,flat-cap,3.63,dark grey,K,,,1.0,,,4.0,79.0,4.0,6.0,4.0,,W,,PK,,XL,,0.099
b124,womenswear,women-beachwear,bikin,3.28,violet,K,,,2.0,1.0,,2.0,91.0,2.0,,,,W,,BD,SUM,XS,,
b112,womenswear,accessory,backpack,28.33,bondi blue,W,4.0,6.0,1.0,,4.0,1.0,,6.0,74.0,1.0,,W,,CN,,XS,,
b64,kidswear,thermals,trousers,27.6,mosaic,K,,4.0,,13.0,15.0,,,,6.0,6.0,53.0,Y,,CN,WIN,M,,0.7659999999999999
b101,baby,footwear,socks,1.58,maroon,K,10.0,49.0,,,,17.0,,,11.0,,12.0,,,HK,,L,,
b101,home,home,towel,28.74,turquoise,K,6.0,8.0,,,,10.0,69.0,,4.0,,1.0,,,VN,,S,,
b89,baby,footwear,socks,0.84,unbleached,K,,9.0,,,,63.0,,,,27.0,,,,CN,,S,,0.03
b103,clothing,headgear,hat,2.96,dark grey,K,,15.0,14.0,3.0,,45.0,4.0,,,,16.0,W,,CN,,XL,,
b23,womenswear,home,sheets,20.89,grey,K,,,4.0,,1.0,6.0,,,83.0,3.0,,W,,BD,,M,,0.485
b131,clothing,sportswear,trousers,29.12,Ivory,K,1.0,,1.0,,,84.0,,2.0,,10.0,,B,,DE,AYR,XS,,
b64,home,home,sheets,34.05,navy,K,1.0,,,,2.0,,8.0,1.0,76.0,,9.0,,,CN,,S,,
b89,home,home,towel,28.72,mosaic,W,,1.0,,3.0,1.0,,,1.0,,,92.0,,,TW,,L,,0.349
b131,baby,nightwear,pyjama,19.48,lime,K,5.0,5.0,,5.0,3.0,7.0,5.0,,,,67.0,,,US,,S,,0.27399999999999997
b23,menswear,undergarments,underpants,0.86,violet,K,,100.0,,,,,,,,,,M,,CN,,XXL,,0.027999999999999997
b64,menswear,men-undergarments,boxer-brief,3.06,red,K,3.0,9.0,2.0,1.0,9.0,3.0,,7.0,62.0,,,M,,CN,,L,,
b124,baby,baby,body,0.72,navy,K,,10.0,,4.0,,7.0,8.0,4.0,,5.0,58.0,,,CN,,L,,
b103,clothing,clothing,jacket,14.5,unbleached,K,,4.0,,41.0,,21.0,8.0,,,24.0,,U,,CN,,M,,0.644
b103,clothing,dress,dress,11.0,mosaic,K,2.0,90.0,2.0,,2.0,,,,,1.0,,K,,DE,,S,,
b64,kidswear,dress,evening-dress,10.75,black,K,10.0,,9.0,5.0,12.0,16.0,,,45.0,,,B,,VN,,XXL,,
b142,clothing,footwear,socks,1.19,blue gray,K,11.0,,,3.0,5.0,11.0,,12.0,41.0,3.0,11.0,K,,US,,L,,0.025
b16,home,home,towel,7.95,teal,K,10.0,9.0,,41.0,11.0,,8.0,,10.0,,8.0,,,CN,,XL,,
b76,baby,footwear,socks,1.07,bondi blue,K,,44.0,5.0,,4.0,40.0,5.0,,,,,,,PK,,L,,
b16,menswear,suit,tie,0.96,light grey,K,,,2.0,4.0,,85.0,7.0,,,,,M,,VN,,M,,0.024
b17,home,home,curtain,35.87,aquamarine,W,,,7.0,8.0,,7.0,6.0,,7.0,11.0,50.0,,,CN,,S,,
b131,home,home,towel,14.61,pink,K,,4.0,3.0,4.0,,,83.0,1.0,,,1.0,,,US,,XL,,0.413
b103,home,home,pillow,4.45,grey,K,,,12.0,13.0,15.0,,48.0,,,,9.0,,,CN,,L,,0.21100000000000002
b66,clothing,clothing,snow-suit,142.71,maroon,K,,,,,,,37.0,63.0,,,,M,,VN,WIN,M,,4.186
b86,home,home,curtain,54.83,violet,W,13.0,49.0,2.0,3.0,1.0,,,13.0,,6.0,10.0,,,VN,,XL,,1.067
b23,baby,nightwear,pyjama,25.99,golden,K,,,,,,,7.0,6.0,9.0,10.0,66.0,,,CN,,XXL,,0.583
b86,womenswear,beachwear,jean-shorts,10.5,wheat,W,14.0,,,13.0,18.0,13.0,40.0,,,,,W,,IN,SUM,XL,,
b66,home,home,curtain,33.38,indigo,K,,1.0,,3.0,3.0,,1.0,,,3.0,86.0,,,CN,,XXL,,
b124,baby,nightwear,pyjama,25.05,light grey,K,,13.0,,25.0,,1.0,,10.0,1.0,5.0,43.0,,,CN,,XL,,
b124,baby,outerwear,coats,62.18,violet,K,4.0,5.0,1.0,4.0,,73.0,4.0,,,,6.0,,,CN,WIN,L,,
b95,baby,footwear,socks,0.37,lime,K,,4.0,13.0,38.0,3.0,10.0,,15.0,13.0,,,,,CN,,XXL,,
b89,home,home,towel,25.19,navy,W,1.0,1.0,1.0,2.0,,2.0,,,86.0,2.0,1.0,,,TR,,XS,,0.58
b112,menswear,nightwear,pyjama,22.86,wheat,K,,,,,,,,,,,96.0,M,,VN,,XS,,
b95,menswear,accessory,backpack,26.86,mustard,K,,,5.0,3.0,,82.0,,,2.0,5.0,,M,,EG,,L,,
b89,baby,nightwear,pyjama,9.16,colourful,K,,10.0,,50.0,3.0,4.0,9.0,3.0,9.0,9.0,,,,CN,,L,,
b103,clothing,thermals,trousers,17.89,golden,K,,8.0,4.0,,,,53.0,6.0,14.0,12.0,,W,,CN,AYR,XXL,,
b86,womenswear,outerwear,trousers,42.5,pink,K,,8.0,3.0,52.0,4.0,11.0,,12.0,7.0,,,W,,CN,WIN,XXL,,
b16,clothing,clothing,hoodie,8.24,yellow,K,,24.0,16.0,45.0,13.0,,,,,,,K,,US,,M,,0.278
b67,clothing,costume,trousers,10.3,unknown,K,,42.0,26.0,,,12.0,,11.0,,8.0,,K,,CN,SUM,XXL,,
b131,baby,thermals,long-sleeved-top,2.09,mosaic,K,7.0,1.0,8.0,6.0,1.0,,2.0,,57.0,9.0,5.0,,,DE,,XXL,,
b124,menswear,nightwear,pyjama,24.94,purple,K,17.0,,,3.0,,11.0,,,13.0,,54.0,M,,CN,,XS,,
b76,baby,outerwear,gloves,6.6,lime,W,21.0,,,,,15.0,47.0,,,16.0,,,,CN,WIN,M,,
b101,baby,outerwear,jacket,57.42,gold,W,6.0,18.0,22.0,8.0,,,37.0,1.0,4.0,,,,,IN,,S,,
b131,menswear,accessory,backpack,29.49,bondi blue,K,10.0,64.0,3.0,,,6.0,8.0,3.0,4.0,,,M,,CN,,XXL,,
b17,menswear,home,sheets,34.27,amber,K,,5.0,9.0,,10.0,10.0,,,55.0,7.0,1.0,M,,HK,,XXL,,
b67,kidswear,accessory,backpack,40.87,orange,W,6.0,,,9.0,,,43.0,14.0,14.0,,12.0,K,,VN,,XS,,0.9440000000000001
b125,baby,baby,body,0.71,indigo,K,10.0,8.0,9.0,50.0,11.0,,,,9.0,,,,,DE,,XXL,,
b86,womenswear,beachwear,swimsuit,5.84,bondi blue,K,7.0,,6.0,,8.0,68.0,,,,9.0,,W,,VN,,XL,,0.141
b131,home,home,towel,14.65,dark grey,W,4.0,2.0,6.0,64.0,1.0,2.0,2.0,,8.0,,8.0,,,CN,,XL,,
b89,kidswear,outerwear,trousers,22.99,golden,W,7.0,3.0,1.0,1.0,,82.0,,2.0,,1.0,,Y,,TW,SUM,S,,
b103,kidswear,sportswear,jersey,8.47,gray,K,1.0,,1.0,79.0,,7.0,3.0,,,7.0,,G,,PK,,M,,0.31
b101,kidswear,sportswear,hoodie,10.46,green,K,,,3.0,6.0,6.0,79.0,,,,4.0,,K,,TW,,M,,0.271
b95,home,home,towel,12.83,colourful,W,,4.0,,44.0,,,17.0,11.0,18.0,4.0,,,,CN,,XS,,0.643
b89,menswear,thermals,pants,1.77,pink,K,2.0,82.0,4.0,4.0,,4.0,,,,,1.0,M,,US,,XXL,,
b103,menswear,costume,jacket,15.13,black,W,5.0,2.0,2.0,,3.0,80.0,4.0,,1.0,,,M,,CN,,M,,
b124,kidswear,suit,jacket,8.23,yellow,K,,,,87.0,,5.0,,,,7.0,,K,,PK,,XL,,
b124,kidswear,thermals,pants,1.27,blue,K,,,,8.0,,70.0,6.0,8.0,,,6.0,B,,DE,,M,,
b67,baby,baby,body,0.65,wheat,K,5.0,54.0,3.0,12.0,,3.0,12.0,,,,8.0,,,CN,,L,,
b124,home,home,mat,16.05,aquamarine,K,,24.0,,,,,57.0,17.0,,,,,,CN,,L,,0.6809999999999999
b125,kidswear,suit,coats,29.1,amber,W,,43.0,,5.0,16.0,,,11.0,5.0,5.0,12.0,Y,,CN,SUM,M,,
b16,home,home,sheets,32.43,yellow,W,2.0,15.0,22.0,10.0,,2.0,7.0,,39.0,1.0,,,,TR,,XXL,,0.775
b101,kidswear,beachwear,swimsuit,2.32,violet,K,,,11.0,18.0,10.0,60.0,,,,,,K,,CN,,M,,0.10800000000000001
b142,home,home,mat,86.68,metal,K,8.0,7.0,,12.0,11.0,39.0,10.0,,9.0,1.0,,,,TR,,XS,,2.336
b23,kidswear,costume,trousers,11.59,turquoise,W,,,,94.0,1.0,1.0,1.0,,1.0,,,Y,,IN,MID,L,,
b76,clothing,outerwear,jacket,98.05,bondi blue,K,,4.0,1.0,,,4.0,2.0,3.0,3.0,,79.0,M,,TW,,M,,1.281
b124,menswear,undergarments,briefs,6.46,unbleached,K,,,,,,,32.0,,,,68.0,M,,TW,,L,,0.091
b101,clothing,costume,trousers,37.74,mustard,W,12.0,,7.0,16.0,8.0,4.0,45.0,5.0,,,,W,,BD,SUM,XL,,1.074
b66,kidswear,beachwear,shorts,1.66,golden,K,,,,,6.0,84.0,9.0,,,,,Y,,CN,SUM,L,,0.069
b124,womenswear,footwear,socks,0.68,violet,K,6.0,,,,,60.0,9.0,9.0,4.0,9.0,,W,,CN,,XS,,0.026000000000000002
b103,home,home,mat,91.98,gray,K,,,,,,,,,,,98.0,,,ES,,XXL,,
b124,clothing,clothing,skirts,13.14,neon,K,2.0,,2.0,,,,2.0,1.0,,1.0,89.0,K,,CN,,L,,0.258
b103,clothing,costume,coats,40.18,mustard,W,,,,4.0,,78.0,7.0,5.0,1.0,,2.0,B,,CN,WIN,M,,
b125,menswear,suit,gloves,5.66,white,W,12.0,,14.0,,,38.0,,12.0,,,21.0,M,,CN,AYR,XL,,0.172
b66,baby,baby,body,0.62,white,K,5.0,10.0,15.0,31.0,,,19.0,16.0,,,,,,CN,,S,,
b125,home,home,sheets,34.03,maroon,W,,,,68.0,,,4.0,8.0,12.0,7.0,,,,BD,,M,,
b23,home,home,curtain,12.21,peach,W,,,,4.0,2.0,6.0,5.0,,3.0,,78.0,,,CN,,M,,
b89,clothing,accessory,backpack,15.2,turquoise,W,4.0,18.0,,5.0,,,45.0,,,25.0,,B,,CN,,XS,,
b17,home,home,mat,119.46,dark green,W,7.0,7.0,7.0,2.0,5.0,7.0,1.0,,60.0,,,,,BD,,L,,
b95,clothing,uniform,costume,21.95,colourful,K,1.0,10.0,6.0,7.0,9.0,,40.0,1.0,2.0,14.0,6.0,B,,CN,,S,,
b101,kidswear,suit,coats,89.05,brown,K,11.0,,,4.0,,18.0,5.0,,34.0,15.0,10.0,Y,,HK,AYR,XXL,,
b76,menswear,outerwear,trousers,48.25,natural,W,,,,,,,,,,,97.0,M,,CN,AYR,XL,,
b23,womenswear,footwear,socks,1.44,black,K,10.0,9.0,,11.0,,,55.0,,,,12.0,W,,IN,,XL,,
b66,womenswear,thermals,knitwear,12.08,colourful,K,13.0,7.0,5.0,26.0,,36.0,,,,10.0,,W,,CN,SUM,M,,
b67,home,home,sheets,18.18,blue,W,3.0,11.0,,,,64.0,8.0,3.0,,9.0,,,,CN,,XL,,
b76,kidswear,costume,costume,10.84,aquamarine,W,,,,96.0,2.0,,,,,,1.0,Y,,PK,,XS,,
b66,baby,baby,body,0.68,unknown,K,,,,,,,,9.0,87.0,3.0,,,,CN,,XXL,,
b66,clothing,home,sheets,27.4,green,W,2.0,,4.0,,,2.0,85.0,,,,4.0,G,,US,,XS,,
b142,menswear,uniform,jacket,15.35,indigo,W,,3.0,6.0,4.0,,7.0,,4.0,65.0,7.0,,M,,CN,,M,,0.588
b89,menswear,home,mat,95.73,purple,K,,,8.0,58.0,4.0,11.0,,,15.0,,2.0,M,,VN,,XL,,3.175
b16,home,home,towel,9.48,unknown,K,1.0,,,,2.0,90.0,,3.0,,1.0,,,,KR,,XS,,
b89,baby,nightwear,pyjama,24.55,purple,K,,,,8.0,,12.0,74.0,,,2.0,2.0,,,VN,,M,,
b64,clothing,uniform,jacket,48.1,blue,W,,1.0,,8.0,10.0,70.0,,,,,8.0,U,,IT,,L,,
b131,kidswear,uniform,trousers,45.83,golden,W,9.0,13.0,11.0,,,51.0,11.0,,,,3.0,G,,CN,WIN,L,,1.617
b16,kidswear,outerwear,gloves,6.05,bondi blue,W,,9.0,,,,77.0,9.0,3.0,,,,B,,US,MID,XL,,0.146
b124,clothing,home,curtain,45.27,bondi blue,K,2.0,92.0,,,1.0,,,,1.0,,,B,,VN,,M,,0.955
b67,clothing,suit,trousers,24.01,maroon,W,,,20.0,,,17.0,33.0,5.0,12.0,10.0,,U,,CN,SUM,XXL,,
b23,clothing,suit,coats,204.28,pink,K,1.0,,,2.0,,,,3.0,90.0,2.0,,M,,KR,WIN,M,,
b142,kidswear,headgear,knit-cap,3.4,red,K,1.0,4.0,8.0,6.0,,18.0,35.0,,,6.0,18.0,Y,,PK,,XXL,,
b131,baby,thermals,skirts,6.3,yellow,K,,1.0,7.0,72.0,,,1.0,8.0,3.0,,6.0,,,CN,,XL,,0.341
b112,kidswear,nightwear,pyjama,12.22,blue,K,7.0,57.0,3.0,7.0,,8.0,11.0,,,5.0,,K,,BD,,S,,
b112,home,home,curtain,38.73,purple,W,,,,1.0,1.0,1.0,1.0,,,,94.0,,,HK,,XS,,
b103,menswear,home,sheets,11.48,purple,K,3.0,2.0,,,,,86.0,,2.0,5.0,,M,,CN,,XS,,
b66,baby,footwear,socks,0.71,metal,K,,14.0,6.0,47.0,6.0,,,7.0,14.0,,4.0,,,IN,,M,,
b124,home,home,curtain,16.42,dark grey,K,,39.0,,,30.0,,,,,30.0,,,,CN,,XS,,0.72
b112,womenswear,footwear,socks,0.97,red,K,2.0,1.0,,81.0,4.0,1.0,,,2.0,1.0,5.0,W,,US,,XL,,
b125,baby,nightwear,pyjama,8.3,orange,K,,,,,,,,,96.0,,,,,CN,,XS,,0.312
b124,womenswear,headgear,scarf,8.99,Ivory,K,16.0,10.0,12.0,3.0,,39.0,4.0,,5.0,9.0,,W,,CN,WIN,XXL,,0.307
b17,home,home,curtain,20.81,black,W,,12.0,,9.0,15.0,10.0,32.0,,17.0,,2.0,,,PK,,L,,
b101,menswear,nightwear,pyjama,7.36,mosaic,K,,,2.0,1.0,3.0,91.0,,,,,1.0,M,,CN,,L,,0.292
b112,clothing,swimwear,swimsuit,2.56,purple,K,,,,90.0,,,,4.0,,5.0,,K,,KR,,M,,
b125,womenswear,suit,jacket,34.64,orange,K,,,,,3.0,32.0,10.0,21.0,,28.0,4.0,W,,CN,,S,,
b16,womenswear,beachwear,swimsuit,2.64,natural,K,,,,,7.0,18.0,38.0,28.0,,7.0,,W,,CN,,M,,
b124,kidswear,outerwear,gloves,3.94,blue gray,K,,,9.0,,,,17.0,,17.0,,56.0,K,,CN,MID,S,,0.095
b64,clothing,costume,trousers,15.56,black,W,,,,98.0,,,,,,,,K,,CN,AYR,L,,
b142,kidswear,thermals,knitwear,15.92,navy,K,,7.0,5.0,68.0,1.0,,10.0,1.0,6.0,,,G,,CN,MID,XS,,
b23,menswear,men-undergarments,boxer-brief,4.54,gray,K,2.0,2.0,,,,64.0,19.0,10.0,1.0,,,M,,TR,,XS,,0.113
b103,menswear,undergarments,briefs,2.72,dark green,K,8.0,,5.0,70.0,4.0,1.0,6.0,,3.0,,,M,,KR,,XS,,
b101,clothing,accessory,backpack,21.65,orange,K,1.0,,,9.0,6.0,43.0,,14.0,13.0,11.0,,B,,CN,,XS,,0.927
b86,clothing,uniform,costume,21.6,green,K,,,,,,,96.0,,,,,W,,VN,,L,,
b124,baby,baby,body,0.91,lime,K,16.0,,,44.0,,8.0,,7.0,,1.0,21.0,,,CN,,XL,,
b16,home,home,curtain,12.89,neon,W,6.0,6.0,,,4.0,77.0,3.0,2.0,,,,,,US,,L,,0.309
b66,kidswear,costume,coats,58.94,indigo,K,1.0,8.0,9.0,63.0,,,,,9.0,6.0,,K,,CN,WIN,S,,
b112,womenswear,undergarments,brief,2.98,red,K,,50.0,1.0,8.0,7.0,,4.0,,,11.0,15.0,W,,CN,,XL,,0.1
b131,home,home,mat,40.02,mosaic,K,,,,86.0,4.0,,2.0,3.0,4.0,,,,,HK,,XS,,1.693
b112,clothing,accessory,backpack,22.15,lime,W,7.0,8.0,,36.0,1.0,3.0,16.0,,,12.0,13.0,W,,CN,,L,,0.8440000000000001
b124,kidswear,nightwear,pyjama,10.25,aquamarine,K,6.0,,,,,,4.0,,76.0,5.0,6.0,K,,KR,,L,,0.215
b124,menswear,swimwear,swimsuit,3.57,purple,K,10.0,,3.0,,3.0,67.0,15.0,,,,,M,,CN,,M,,0.136
b89,menswear,men-undergarments,boxer-brief,2.57,dark grey,K,,11.0,17.0,,,54.0,,15.0,1.0,,,M,,CN,,M,,
b67,baby,nightwear,pyjama,25.68,aquamarine,K,,,,,,,,,99.0,,,,,DE,,M,,0.579
b67,home,home,sheets,9.73,metal,W,,7.0,,56.0,6.0,8.0,,5.0,7.0,7.0,,,,CN,,M,,0.547
b124,womenswear,costume,costume,38.03,bondi blue,K,,,,5.0,13.0,54.0,2.0,14.0,,,9.0,W,,US,,M,,
b86,clothing,costume,dress,8.52,brown,K,,,9.0,2.0,13.0,57.0,,6.0,,3.0,7.0,Y,,PK,,S,,
b64,home,home,curtain,21.05,gold,K,,54.0,7.0,4.0,4.0,6.0,7.0,2.0,6.0,,7.0,,,CN,,L,,
b142,baby,outerwear,gloves,1.92,red,K,,23.0,6.0,57.0,,,13.0,,,,,,,CN,MID,XS,,
b142,womenswear,thermals,trousers,39.21,indigo,W,,13.0,,62.0,5.0,,,,19.0,,,W,,CN,WIN,S,,2.141
b64,baby,footwear,socks,0.93,pink,K,12.0,,17.0,,6.0,,,9.0,14.0,6.0,33.0,,,CN,,XL,,
b101,womenswear,women-undergarments,panties,1.16,golden,K,,,,,6.0,,9.0,,,,85.0,W,,RO,,XS,,
b89,menswear,footwear,socks,0.79,green,K,11.0,,,65.0,,4.0,,,,12.0,5.0,M,,CN,,XXL,,
b125,baby,nightwear,pyjama,24.16,neon,K,3.0,3.0,,2.0,,3.0,,3.0,2.0,,81.0,,,CN,,XS,,
b66,womenswear,beachwear,swimsuit,2.94,light brown,K,26.0,,9.0,,4.0,37.0,,22.0,,,,W,,CN,,XS,,
b76,home,home,pillow,5.58,black,W,10.0,,8.0,,,,7.0,9.0,2.0,,62.0,,,US,,L,,0.078
